Park Name,fullName_manual,parkCode_manual
Wrangell - St Elias National Park & Reserve,Wrangell–St. Elias National Park & Preserve,wrst
National Mall & Memorial Parks,National Mall and Memorial Parks,nama
Big South Fork National River and Recreation Area,Big South Fork National River & Recreation Area,biso
Kaloko-Honokohau National Historical Park,Kaloko-Honokōhau National Historical Park,kaho
George Washington Birthplace,George Washington Birthplace National Monument,gewa
Castillo De San Marcos National Monument,Castillo de San Marcos National Monument,casa
Hawaii Volcanoes National Park,Hawai'i Volcanoes National Park,havo
Jean Lafitte National Historical Park & Preserve,Jean Lafitte National Historical Park and Preserve,jela
Haleakala National Park,Haleakalā National Park,hale
New River Gorge National River,New River Gorge National Park and Preserve,neri
Canyon De Chelly National Monument,Canyon de Chelly National Monument,cach
Suitland,Suitland Parkway,suit
President's Park (White House),President's Park (White House),whho
